district,fiscal_year,remittance_musd,source_pdf
Madaripur,FY2024-25,453.4,report_july2025.pdf
Magura,FY2024-25,78.2,report_july2025.pdf
Manikganj,FY2024-25,291.8,report_july2025.pdf
Meherpur,FY2024-25,107.9,report_july2025.pdf
Moulvibazar,FY2024-25,549.7,report_july2025.pdf
Munshiganj,FY2024-25,514.9,report_july2025.pdf
Mymensingh,FY2024-25,317.1,report_july2025.pdf
Naogaon,FY2024-25,113.1,report_july2025.pdf
Narail,FY2024-25,60.8,report_july2025.pdf
Narayanganj,FY2024-25,469.3,report_july2025.pdf
Narsingdi,FY2024-25,495.0,report_july2025.pdf
Natore,FY2024-25,82.0,report_july2025.pdf
Netrokona,FY2024-25,73.2,report_july2025.pdf
Nilphamari,FY2024-25,46.8,report_july2025.pdf
Noakhali,FY2024-25,904.3,report_july2025.pdf
Pabna,FY2024-25,178.1,report_july2025.pdf
Panchagarh,FY2024-25,32.6,report_july2025.pdf
Patuakhali,FY2024-25,91.2,report_july2025.pdf
Pirojpur,FY2024-25,115.1,report_july2025.pdf
Rajbari,FY2024-25,128.3,report_july2025.pdf
Rajshahi,FY2024-25,127.1,report_july2025.pdf
Rangamati,FY2024-25,27.8,report_july2025.pdf
